n.th,n.en
"เยอรมัน นีเดอร์ไฮน์ คัพ",Germany Niederrhein Cup
"บราซิล โคปา ซุล U19",Brazil Copa Sul U19
Northern Ireland Premiership Development League U20,Northern Ireland Premiership Development League U20
"เยอรมัน เบอร์ลิน คัพ",Germany Berlin Cup
"นิวซีแลนด์ ISPS แฮนด้า พรีเมียร์ชิฟ",New Zealand ISPS Handa Premiership
"บราซิล (W) ตาริโอก้า แชมป์เปี้ยนชิฟ",Brazil Women Carioca Championship
"สก็อตแลนด์ (R) ชาลเล้นจ์ คัพ",Scotland Reserve Challenge Cup
"เยอรมัน เฮสเซ่น คัพ",Germany Hessen Cup
Scotland Women Premier League,Scotland Women Premier League
"<DE>Japan Women Nadeshiko Div. 1</DE>",Japan Women Nadeshiko Div. 1
Finland Ykkonen Playoff,Finland Ykkonen Playoff
English Central Reserve League Cup,English Central Reserve League Cup
Estonia Esiliiga Playoff,Estonia Esiliiga Playoff
"เปรู พรีเมียร่า ดิวิชั่น (P)",Peru Primera Division Playoff
"เอกวาดอร์ โคปา ซูดาเมริคาน่า (P)",Ecuador Copa Sudamericana Playoff
"โคปา เปรู (P)",Copa Peru Playoff
"เอกวาดอร์ ซีรี่ย์ A (P)",Ecuador Serie A Playoff
Brazil Sergipano,Brazil Sergipano
Copa Bicentenaria (in Venezuela),Copa Bicentenaria (in Venezuela)
Argentina Cup Qualifiers,Argentina Cup Qualifiers
Finland Women Cup,Finland Women Cup
"มาเลเซีย ซูเปอร์ ลีก",Malaysia Super League
"<DE>Sweden Women Cup</DE>",Sweden Women Cup
Jordan 1st Div,Jordan 1st Div
Peru Liga 1,Peru Liga 1
Portugal Liga Revelacao U23 Playoff,Portugal Liga Revelacao U23 Playoff
Belarus Super Cup,Belarus Super Cup
Cyprus 1st Div Playoff,Cyprus 1st Div Playoff
Israel Premier League Playoff,Israel Premier League Playoff
Brazil Carioca U20,Brazil Carioca U20
International Football Tournament U21 (in Turkey),International Football Tournament U21 (in Turkey)
Swiss Promotion League,Swiss Promotion League
DENMARK SUPER LEAGUE PLAYOFF,DENMARK SUPER LEAGUE PLAYOFF
USA National Women Soccer League,USA National Women Soccer League
Belarus Women Premier League,Belarus Women Premier League
English National League Playoff,English National League Playoff
Oxfordshire Senior Cup,Oxfordshire Senior Cup
Argentina Super Cup,Argentina Super Cup
English Southern Premier Division South Playoff,English Southern Premier Division South Playoff
Finland Kolmonen,Finland Kolmonen
"ชิลี พรีเมร่า B",Chile Primera B
"ฮอลแลนด์ คัพ",Holland Cup
"ฮอลแลนด์ อีเรดิวิซี่ U19",Holland Eredivisie U19
"มอลโดวา คัพ",Moldova Cup
"เซอร์เบีย คัพ",Serbia Cup
"ยูฟ่า ยูโรเปี้ยน U19 แชมป์เปี้ยนชิฟ (Q)",UEFA European U19 Championship Qualifiers
Austria Regionalliga Mitte,Austria Regionalliga Mitte
Vietnam League 2 Playoff,Vietnam League 2 Playoff
"บราซิล พารานาเอนเซ่ U19",Brazil Paranaense U19
"เยอรมัน (W) บุนเดสลีก้า 2",Germany Women Bundesliga 2
"เบลเยี่ยม (R) ลีก คัพ",Belgium Reserve League Cup
"ออสเตรเลีย เวสต์ฟิลด์ W-ลีก",Australia Westfield W-League
"อินเดีย ไอ-ลีก",India I-League
Brazil Paulista 1st Division U20,Brazil Paulista 1st Division U20
"อังกฤษ FA คัพ",ENGLISH FA CUP
Sweden Folksam U21 Playoff,Sweden Folksam U21 Playoff
Venezuela Segunda Division Playoff,Venezuela Segunda Division Playoff
Kazakhstan 1st Div Playoff,Kazakhstan 1st Div Playoff
Bolivia Liga Nacional B Playoff,Bolivia Liga Nacional B Playoff
"ยูฟ่า เนชั่น ลีก D - กรุ๊ป 3 Winner",UEFA NATIONS LEAGUE D - Group 3 Winner
"นอร์เวย์ คัพ วินเนอร์",Norway Cup Winner
"โอมาน โปรเฟสชั่นน่อล ลีก คัพ",Oman Professional League Cup
"ยูฟ่า แชมป์เปี้ยน ลีก - กรุ๊ป E วินเนอร์",UEFA CHAMPIONS LEAGUE - Group E Winner
France Women Cup,France Women Cup
Portugal Allianz Cup Winner,Portugal Allianz Cup Winner
J.League Asia Challenge (in Thailand),J.League Asia Challenge (in Thailand)
Uruguay Super Cup,Uruguay Super Cup
Brazil Mineiro Module 2,Brazil Mineiro Module 2
Mobile Mini Sun Cup (in USA),Mobile Mini Sun Cup (in USA)
Japan Fuji Xerox Super Cup Winner,Japan Fuji Xerox Super Cup Winner
Argentina Torneo Federal A Playoff,Argentina Torneo Federal A Playoff
Norway Mesterfinalen,Norway Mesterfinalen
Japan Women Nadeshiko League 2,Japan Women Nadeshiko League 2
Japan Women Nadeshiko League 1,Japan Women Nadeshiko League 1
Norway Interkrets A U19,Norway Interkrets A U19
Austria BFV Cup,Austria BFV Cup
Belgium Croky Cup Winner,Belgium Croky Cup Winner
English National League North Playoff,English National League North Playoff
English U23 Professional Development League Playoff,English U23 Professional Development League Playoff
"ยูฟ่า เนชั่น ลีก A",UEFA NATIONS LEAGUE A
Australia National Premier Leagues Playoff,Australia National Premier Leagues Playoff
"อังกฤษ เซาท์เธิร์น พรีเมียร์ ดิวิชั่น เซาท์",English Southern Premier Division South
Russia 3rd Division,Russia 3rd Division
Norway 3rd Div,Norway 3rd Div
"ชิลี เทอซาร่า ดิวิชั่น A",Chile Tercera Division A
English Northern Premier League Division One East,English Northern Premier League Division One East
Spain Women Segunda Division,Spain Women Segunda Division
"ยูไนเต็ด ซ๊อคเกอร์ ลีก (P)",United Soccer League Playoff
"อิตาลี ซีรีย์ D",Italy Serie D
"โครเอเทีย คัพ",Croatia Cup
Italy Primavera 2 Championship,Italy Primavera 2 Championship
English Isthmian League Division One North,English Isthmian League Division One North
"ยูฟ่า แชมป์เปี้ยน ลีก - กรุ๊ป A วินเนอร์",UEFA CHAMPIONS LEAGUE - Group A Winner
Germany Sachsen Cup,Germany Sachsen Cup
Florida Cup (in USA),Florida Cup (in USA)
Copa do Nordeste,Copa do Nordeste
"อิงลิช วูเม่น เอฟเอ คัพ",English Women FA Cup
Japan Fuji Xerox Super Cup,Japan Fuji Xerox Super Cup
Australia Victorian Premier League 2,Australia Victorian Premier League 2
China Super Cup,China Super Cup
Australia Victorian Women Premier League,Australia Victorian Women Premier League
Germany Mecklenburg Cup,Germany Mecklenburg Cup
SAFF Women's Championship (in Nepal),SAFF Women's Championship (in Nepal)
AFC U23 Championship 2020 Qualifiers,AFC U23 Championship 2020 Qualifiers
BELGIUM FIRST DIVISION A PLAYOFF,BELGIUM FIRST DIVISION A PLAYOFF
Chile Segunda Division,Chile Segunda Division
Mexico Liga de Ascenso Playoff,Mexico Liga de Ascenso Playoff
English Isthmian League Division One South East Playoff,English Isthmian League Division One South East Playoff
English Southern League Division One South Playoff,English Southern League Division One South Playoff
English Isthmian League Premier Division Playoff,English Isthmian League Premier Division Playoff
Belarus Women Cup,Belarus Women Cup
"เยอรมัน มิทเทอลร์ไฮน์ คัพ",Germany Mittelrhein Cup
"ชิลี พรีเมร่า B (P)",Chile Primera B Playoff
"โครันติน่า โฮมส์ คัพ (ใน ไซปรัส)",Korantina Homes Cup (in Cyprus)
"ยูฟ่า เนชั่น ลีก A - กรุ๊ป 1 Winner",UEFA NATIONS LEAGUE A - Group 1 Winner
"ยูฟ่า เนชั่น ลีก B - กรุ๊ป 2 Winner",UEFA NATIONS LEAGUE B - Group 2 Winner
"เม็กซิโก พรีเมร่า ดิวิชั่น (P)",Mexico Primera Division Playoff
Northern Ireland Mid Ulster Cup,Northern Ireland Mid Ulster Cup
USA Major League Soccer Playoff Winner,USA Major League Soccer Playoff Winner
Georgia Erovnuli Liga 2 Playoff,Georgia Erovnuli Liga 2 Playoff
New Zealand National Women League Playoff,New Zealand National Women League Playoff
Brazil Copa Sao Paulo U20,Brazil Copa Sao Paulo U20
Kuwait Federation Cup,Kuwait Federation Cup
Guangdong Hong Kong Women Cup,Guangdong Hong Kong Women Cup
"ฟินแลนด์ คัพ",Finland Cup
Finland Championship U20 Qualifiers,Finland Championship U20 Qualifiers
Brazil Piauiense,Brazil Piauiense
Liverpool Senior Cup,Liverpool Senior Cup
Wales Premier League Playoff,Wales Premier League Playoff
Australia Queensland National Premier League U20,Australia Queensland National Premier League U20
Ireland President Cup,Ireland President Cup
Iceland Women League Cup,Iceland Women League Cup
Kuban Spring International Tournament Women U19 (in Russia),Kuban Spring International Tournament Women U19 (in Russia)
Ecuador Liga Pro Serie B,Ecuador Liga Pro Serie B
Brazil Cup U20,Brazil Cup U20
USA National Premier Soccer League,USA National Premier Soccer League
Vietnam U19 Championship,Vietnam U19 Championship
Australia New South Wales Premier League 2,Australia New South Wales Premier League 2
Australia New South Wales Premier League U20,Australia New South Wales Premier League U20
Israel Women Premier League Playoff,Israel Women Premier League Playoff
Brazil Baiano Serie B,Brazil Baiano Serie B
MX Test League,MX Test League
Northern Ireland Danske Bank Premiership Playoff,Northern Ireland Danske Bank Premiership Playoff
Germany South Baden Cup,Germany South Baden Cup
Belgium Women Super League Playoff,Belgium Women Super League Playoff
Australia Tasmania Lakoseljac Cup,Australia Tasmania Lakoseljac Cup
Denmark 2nd Div Playoff,Denmark 2nd Div Playoff
Mexico Liga Premier Serie A Playoff,Mexico Liga Premier Serie A Playoff
Northern Ireland Championship Playoff,Northern Ireland Championship Playoff
USL League Two,USL League Two
Italy Serie C Playoff,Italy Serie C Playoff
Vietnam Second Division,Vietnam Second Division
Poland Women Ekstraliga Playoff,Poland Women Ekstraliga Playoff
Slovakia Cup U18 (in Slovakia),Slovakia Cup U18 (in Slovakia)
Iceland 3rd Div,Iceland 3rd Div
King's Cup (in Thailand),King's Cup (in Thailand)
UEFA NATIONS LEAGUE A 3rd PLACE WINNER,UEFA NATIONS LEAGUE A 3rd PLACE WINNER
UEFA EUROPEAN U21 CHAMPIONSHIP 2019 WINNER,UEFA EUROPEAN U21 CHAMPIONSHIP 2019 WINNER
New Zealand Southern Football League,New Zealand Southern Football League
Brazil Recopa Catarinense,Brazil Recopa Catarinense
USA United Women Soccer Playoff,USA United Women Soccer Playoff
Colombia Women Liga Aguila,Colombia Women Liga Aguila
"ไอร์แลนด์ เอฟเอไอ คัพ",Ireland FAI Cup
Brazil Copa Goias U20 1st Div,Brazil Copa Goias U20 1st Div
South Australia Women Premier League Playoff,South Australia Women Premier League Playoff
Australia Capital Territory Premier League Playoff,Australia Capital Territory Premier League Playoff
Egypt Super Cup,Egypt Super Cup
Jamaica Premier League,Jamaica Premier League
USA NPSL Members Cup,USA NPSL Members Cup
Essex Senior Cup,Essex Senior Cup
UNCAF Women U20 Tournament (in Guatemala),UNCAF Women U20 Tournament (in Guatemala)
Kazakhstan First League Playoff,Kazakhstan First League Playoff
Brazil Copa Pernambuco,Brazil Copa Pernambuco
Ecuador Liga Pro Serie A Playoff,Ecuador Liga Pro Serie A Playoff
Peru Cuadrangular de Ascenso,Peru Cuadrangular de Ascenso
Argentina Superliga Champions Trophy,Argentina Superliga Champions Trophy
English Sheffield & Hallamshire Senior Cup,English Sheffield & Hallamshire Senior Cup
Estonia Meistriliiga U19,Estonia Meistriliiga U19
CONCACAF Caribbean Club Championship 2020 (in Jamaica),CONCACAF Caribbean Club Championship 2020 (in Jamaica)
UNAF Women Tournament (in Tunisia),UNAF Women Tournament (in Tunisia)
Nicaragua Liga Primera U20,Nicaragua Liga Primera U20
Sweden InterSport Cup,Sweden InterSport Cup
Saudi Arabia 1st Div Playoff,Saudi Arabia 1st Div Playoff
Serbia Prva Liga Playoff,Serbia Prva Liga Playoff
Belgium First Amateur Division Playoff,Belgium First Amateur Division Playoff
ENGLISH LEAGUE TWO PLAYOFF WINNER,ENGLISH LEAGUE TWO PLAYOFF WINNER
Slovakia 2nd Div Playoff,Slovakia 2nd Div Playoff
Belarus First League,Belarus First League
Brazil Catarinense Serie B,Brazil Catarinense Serie B
Western Australia Women National Premier League,Western Australia Women National Premier League
Romania Liga 2 Playoff,Romania Liga 2 Playoff
Lisbon International Tournamet U18 (in Portugal),Lisbon International Tournament U18 (in Portugal)
Toulon Tournament Winner,Toulon Tournament Winner
Copa Bicentenario (in Peru),Copa Bicentenario (in Peru)
CONMEBOL COPA AMERICA 2019 - Group C Rock Bottom,CONMEBOL COPA AMERICA 2019 - Group C Rock Bottom
UEFA EUROPEAN U21 CHAMPIONSHIP 2019 - Group C Rock Bottom,UEFA EUROPEAN U21 CHAMPIONSHIP 2019 - Group C Rock Bottom
Colossus Cup (in USA),Colossus Cup (in USA)
Copa Gigantes de America (in USA),Copa Gigantes de America (in USA)
Western Australia State Cup,Western Australia State Cup
Iceland Women Cup,Iceland Women Cup
Brazil Women Championship Serie A2 Playoff,Brazil Women Championship Serie A2 Playoff
Argentina Primera C Metropolitana Playoff,Argentina Primera C Metropolitana Playoff
Panda Cup (in China),Panda Cup (in China)
Spain Cup U19,Spain Cup U19
South Africa National 1st Div Playoff,South Africa National 1st Div Playoff
Australia Capital Territory Premier League U20,Australia Capital Territory Premier League U20
New Zealand ISPS Handa Chatham Cup,New Zealand ISPS Handa Chatham Cup
Brazil Goiano U20,Brazil Goiano U20
Argentina Primera D Metropolitana Playoff,Argentina Primera D Metropolitana Playoff
CONMEBOL COPA AMERICA 2019 - Group A Rock Bottom,CONMEBOL COPA AMERICA 2019 - Group A Rock Bottom
CONMEBOL COPA AMERICA 2019 - Group C Winner,CONMEBOL COPA AMERICA 2019 - Group C Winner
CAF AFRICA CUP OF NATIONS 2019 - Group A Winner,CAF AFRICA CUP OF NATIONS 2019 - Group A Winner
Baltic Women Cup U19 (in Lithuania),Baltic Women Cup U19 (in Lithuania)
Premier League Asia Trophy (in China),Premier League Asia Trophy (in China)
Rakuten Cup (in Japan),Rakuten Cup (in Japan)
CEE Cup 2019 (in Czech Republic),CEE Cup 2019 (in Czech Republic)
Netherlands Johan Cruijff Shield Winner,Netherlands Johan Cruijff Shield Winner
New Zealand South Premier League,New Zealand South Premier League
New Zealand Mainland Football Premier League Qualifiers,New Zealand Mainland Football Premier League Qualifiers
All Africa Games Morocco 2019 - Men Football,All Africa Games Morocco 2019 - Men Football
Qatar Sheikh Jassim Cup,Qatar Sheikh Jassim Cup
Brazil Matogrossense 2nd Div,Brazil Matogrossense 2nd Div
U20 World Cup 2019 (in Poland),U20 World Cup 2019 (in Poland)
Germany 3rd League Playoff Winner,Germany 3rd League Playoff Winner
Argentina Primera B Metropolitana Playoff,Argentina Primera B Metropolitana Playoff
COSAFA Cup (in South Africa),COSAFA Cup (in South Africa)
Montenegro Second League Playoff,Montenegro Second League Playoff
Australia Capital Territory Premier League,Australia Capital Territory Premier League
CONCACAF GOLD CUP 2019,CONCACAF GOLD CUP 2019
Toulon Tournament 3rd Place Winner,Toulon Tournament 3rd Place Winner
Japan Women Nadeshiko League Cup 1,Japan Women Nadeshiko League Cup 1
CONCACAF GOLD CUP 2019 - Group B Rock Bottom,CONCACAF GOLD CUP 2019 - Group B Rock Bottom
Russia Super Cup Winner,Russia Super Cup Winner
"โรมาเนีย ซูเปอร์ คัพ",Romania Super Cup
Bulgaria Super Cup,Bulgaria Super Cup
USA National Premier Soccer League Playoff,USA National Premier Soccer League Playoff
Copa Premier Centroamericana,Copa Premier Centroamericana
"โคลอมเบีย ทอร์นีโอ อกิล่า",Colombia Torneo Aguila
Ukraine Super Cup,Ukraine Super Cup
Philipp Plein Cup (in France),Philipp Plein Cup (in France)
CONCACAF NATIONS LEAGUE C,CONCACAF NATIONS LEAGUE C
Spain Women Primera Division,Spain Women Primera Division
USA United Premier Soccer League,USA United Premier Soccer League
2020 Olympic Women CONCACAF Qualifiers,2020 Olympic Women CONCACAF Qualifiers
Brazil Sergipano A2,Brazil Sergipano A2
Belarus First League Playoff,Belarus First League Playoff
Chile Tercera Division A Playoff,Chile Tercera Division A Playoff
Football Tournament (in Vietnam),Football Tournament (in Vietnam)
UNAF U21 Women Tournament (in Algeria),UNAF U21 Women Tournament (in Algeria)
Winter Tournament (in Czech Republic & Slovakia),Winter Tournament (in Czech Republic & Slovakia)
Netherlands Eredivisie U19 Playoff,Netherlands Eredivisie U19 Playoff
Cyprus 2nd Div Playoff,Cyprus 2nd Div Playoff
English London Senior Cup,English London Senior Cup
Club Friendly Youth,Club Friendly Youth
Sweden Toyota Cup,Sweden Toyota Cup
Taiwan Football Premier League,Taiwan Football Premier League
Iceland Women 1st Div,Iceland Women 1st Div
English Premier League 2 U23 Division 2 Playoff,English Premier League 2 U23 Division 2 Playoff
GERMANY BUNDESLIGA 2 PLAYOFF WINNER,GERMANY BUNDESLIGA 2 PLAYOFF WINNER
Portugal Cup Winner,Portugal Cup Winner
Spain Tercera Division Playoff,Spain Tercera Division Playoff
Bulgaria Second Professional Football League Playoff,Bulgaria Second Professional Football League Playoff
U20 World Cup 2019 - Group E Winner,U20 World Cup 2019 - Group E Winner
ITALY SERIE B PLAYOFF WINNER,ITALY SERIE B PLAYOFF WINNER
Brazil Serie D,Brazil Serie D
Brazil Carioca Serie B2,Brazil Carioca Serie B2
Kenya National Super League Playoff,Kenya National Super League Playoff
Brazil Gaucho Serie B,Brazil Gaucho Serie B
Premier Cup (in Austria),Premier Cup (in Austria)
Brazil Cearense U20,Brazil Cearense U20
CONCACAF GOLD CUP 2019 WINNER,CONCACAF GOLD CUP 2019 WINNER
CONCACAF Women's U20 Championship Qualifiers,CONCACAF Women's U20 Championship Qualifiers
UEFA European Women's U19 Championship (in Scotland),UEFA European Women's U19 Championship (in Scotland)
CAF AFRICA CUP OF NATIONS 2019 WINNER,CAF AFRICA CUP OF NATIONS 2019 WINNER
Iberian Cup (in Portugal),Iberian Cup (in Portugal)
Brazil Pernambucano A2,Brazil Pernambucano A2
Friendly Match,Friendly Match
English Football League Trophy,English Football League Trophy
Australia Northern New South Wales Premier League U20 Playoff,Australia Northern New South Wales Premier League U20 Playoff
Mexico Super Classic,Mexico Super Classic
Bosnia-Herzegovina Cup,Bosnia-Herzegovina Cup
SAFF U18 Championship (in Nepal),SAFF U18 Championship (in Nepal)
Brazil Paulista Segunda Division U20,Brazil Paulista Segunda Division U20
Brazil Pernambucano U20,Brazil Pernambucano U20
UAE Presidents Cup Qualifiers,UAE Presidents Cup Qualifiers
CAF Africa Cup Of Nations 2021 Qualifiers,CAF Africa Cup Of Nations 2021 Qualifiers
SEA Games Philippines 2019 - Men Football,SEA Games Philippines 2019 - Men Football
EAFF E-1 Women Football Championship (in Korea Republic),EAFF E-1 Women Football Championship (in Korea Republic)
Bangabandhu Gold Cup 2020 (in Bangladesh),Bangabandhu Gold Cup 2020 (in Bangladesh)
Brazil Recopa Gaucho,Brazil Recopa Gaucho
Brazil Paulista A3,Brazil Paulista A3
Brazil Sul Matogrossense,Brazil Sul Matogrossense
Chibagin Cup,Chibagin Cup
Four Nations Tournament Women (in Spain),Four Nations Tournament Women (in Spain)
Brazil Amapaense,Brazil Amapaense
Uganda Cup,Uganda Cup
Myanmar National League U21,Myanmar National League U21
Nicaragua Liga Primera,Nicaragua Liga Primera
Taiwan Mulan Football League,Taiwan Mulan Football League
Denmark Women 1st Div Playoff,Denmark Women 1st Div Playoff
USA Women Premier Soccer League,USA Women Premier Soccer League
Merlion Cup (in Singapore),Merlion Cup (in Singapore)
Denmark U21 Tournament Playoff,Denmark U21 Tournament Playoff
Australia New South Wales Waratah Cup,Australia New South Wales Waratah Cup
"รัสเซีย ซูเปอร์ คัพ",Russia Super Cup
CONMEBOL COPA AMERICA 2019 WINNER,CONMEBOL COPA AMERICA 2019 WINNER
Torneio Internacional do Sado (in Portugal),Torneio Internacional do Sado (in Portugal)
South Australia Women Premier & Division 1 Cup,South Australia Women Premier & Division 1 Cup
COSAFA Women's Championship (in South Africa),COSAFA Women's Championship (in South Africa)
Israel Toto Cup Leumit,Israel Toto Cup Leumit
Serbia Prva Liga,Serbia Prva Liga
Brazil Paraibano 2nd Div,Brazil Paraibano 2nd Div
Brazil Serie C Playoff,Brazil Serie C Playoff
Australia New South Wales Premier League 2 Playoff,Australia New South Wales Premier League 2 Playoff
Scotland Challenge Cup,Scotland Challenge Cup
Four Nations Tournament (in Denmark),Four Nations Tournament (in Denmark)
Australia Hyundai A League Playoff Winner,Australia Hyundai A League Playoff Winner
Germany Schleswig Holstein Cup,Germany Schleswig Holstein Cup
Japan Women Nadeshiko League Cup 2,Japan Women Nadeshiko League Cup 2
Vietnam Women National Cup,Vietnam Women National Cup
Estonia Esiliiga U19,Estonia Esiliiga U19
Baltic Women Cup (in Latvia),Baltic Women Cup (in Latvia)
Mexico Champion of Champions,Mexico Champion of Champions
IMB Cup,IMB Cup
Emirates Cup (in England),Emirates Cup (in England)
WORLD CUP 2022 AFRICA QUALIFIERS,WORLD CUP 2022 AFRICA QUALIFIERS
Armenia Premier League Playoff,Armenia Premier League Playoff
Memorial Mateje Strejcka (in Czech Republic),Memorial Mateje Strejcka (in Czech Republic)
PES 20 - Indonesia Gaming League - Big East - 1st Leg,PES 20 - Indonesia Gaming League - Big East - 1st Leg
Estonia Meistriliiga U19 Playoff,Estonia Meistriliiga U19 Playoff
Kosovo Superliga,Kosovo Superliga
Australia Northern New South Wales Reserve Premier League,Australia Northern New South Wales Reserve Premier League
Australia Capital Territory Premier League 2,Australia Capital Territory Premier League 2
"ฟรานซ์ ลีก 2",FRANCE LIGUE 2
Finland Kolmonen Playoff,Finland Kolmonen Playoff
Slovakia Women Cup,Slovakia Women Cup
Australia Brisbane Women Premier League Playoff,Australia Brisbane Women Premier League Playoff
Guatemala Liga National Playoff,Guatemala Liga National Playoff
USL League One Playoff,USL League One Playoff
USA National Women Soccer League Playoff,USA National Women Soccer League Playoff
English Lincolnshire Senior Cup,English Lincolnshire Senior Cup
SEA Games Philippines 2019 - Women Football,SEA Games Philippines 2019 - Women Football
AFC U23 Championship 2020 Winner,AFC U23 Championship 2020 Winner
Scotland Women Premier League Cup,Scotland Women Premier League Cup
English Hertfordshire Senior Challenge Cup,English Hertfordshire Senior Challenge Cup
Azov Cup (in Ukraine),Azov Cup (in Ukraine)
Sweden Women Cup U19,Sweden Women Cup U19
Taiwan University Football Association - Men Football,Taiwan University Football Association - Men Football
Tajikistan U21 League,Tajikistan U21 League
Turkmenistan Yokary Liga,Turkmenistan Yokary Liga
FIFA 20 FUT Cup - Indonesia Gaming League,FIFA 20 FUT Cup - Indonesia Gaming League
Faroe Islands Cup,Faroe Islands Cup
Copa Telcel (in Mexico),Copa Telcel (in Mexico)
Australia Capital Territory Premier League U23 Playoff,Australia Capital Territory Premier League U23 Playoff
Brazil Paulista U20,Brazil Paulista U20
UEFA NATIONS LEAGUE C - Group 2 Winner,UEFA NATIONS LEAGUE C - Group 2 Winner
Argentina Primera B Transition Championship Playoff,Argentina Primera B Transition Championship Playoff
Slovenia 2nd Div Playoff,Slovenia 2nd Div Playoff
U20 World Cup 2019 - Group C Winner,U20 World Cup 2019 - Group C Winner
Republic of North Macedonia Vtora Liga Playoff,Republic of North Macedonia Vtora Liga Playoff
UEFA NATIONS LEAGUE A WINNER,UEFA NATIONS LEAGUE A WINNER
Denmark Series Playoff,Denmark Series Playoff
CAF AFRICA CUP OF NATIONS 2019 - Group B Rock Bottom,CAF AFRICA CUP OF NATIONS 2019 - Group B Rock Bottom
Romania Super Cup Winner,Romania Super Cup Winner
CONMEBOL COPA AMERICA 2019 3rd PLACE WINNER,CONMEBOL COPA AMERICA 2019 3rd PLACE WINNER
Trophy Normands (in France),Trophy Normands (in France)
Bosnia-Herzegovina Premier League,Bosnia-Herzegovina Premier League
Emirates Women Cup (in England),Emirates Women Cup (in England)
NETHERLANDS EREDIVISIE,NETHERLANDS EREDIVISIE
Vietnam Second Division Playoff,Vietnam Second Division Playoff
International Football Tournament (in Turkey),International Football Tournament (in Turkey)
AFC U19 Championship 2020 Qualifiers,AFC U19 Championship 2020 Qualifiers
Unite The Union Champions Cup,Unite The Union Champions Cup
Japan Women Challenge League Playoff,Japan Women Challenge League Playoff
Turkey Elit League A U19,Turkey Elit League A U19
Denmark Women Cup,Denmark Women Cup
Asia Challenge (in Malaysia),Asia Challenge (in Malaysia)
Winter Tournament (in Malta),Winter Tournament (in Malta)
Western Australia State League Night Series,Western Australia State League Night Series
Medulin Cup (in Croatia),Medulin Cup (in Croatia)
Uganda Premier League,Uganda Premier League
Football Tournament (in Ghana),Football Tournament (in Ghana)
Turkmenistan Youth League,Turkmenistan Youth League
Croatia 3rd Div Playoff,Croatia 3rd Div Playoff
Veolia Trophy (in France),Veolia Trophy (in France)
Poland 1st Liga Playoff,Poland 1st Liga Playoff
Australia Football Queensland Premier League U20,Australia Football Queensland Premier League U20
Mexico Liga de Expansion,Mexico Liga de Expansion
Russia Youth Championship U19,Russia Youth Championship U19
UEFA Women's Euro 2022 Qualifiers,UEFA Women's Euro 2022 Qualifiers
Colombia Pro Women Football League Playoff,Colombia Pro Women Football League Playoff
Australia A League,Australia A League
Italy Women Super Cup,Italy Women Super Cup
Greece Cup Winner,Greece Cup Winner
UAE Arabian Gulf League U21,UAE Arabian Gulf League U21
GERMANY BUNDESLIGA 2 PLAYOFF,GERMANY BUNDESLIGA 2 PLAYOFF
France National Playoff,France National Playoff
Germany Oberliga Playoff,Germany Oberliga Playoff
Brazil Carioca Serie B1,Brazil Carioca Serie B1
Toulon Tournament (in France),Toulon Tournament (in France)
Australia Victorian State League 1,Australia Victorian State League 1
Women World Cup 2019 (in France),Women World Cup 2019 (in France)
Iceland 4th Div,Iceland 4th Div
WORLD CUP 2022 ASIA QUALIFIERS,WORLD CUP 2022 ASIA QUALIFIERS
Russia MFS Cup,Russia MFS Cup
Russia Women Cup,Russia Women Cup
International Friendly Women U20,International Friendly Women U20
Women World Cup 2019 Winner,Women World Cup 2019 Winner
Brazil Paranaense 2nd Div Playoff,Brazil Paranaense 2nd Div Playoff
EA LIGUE 1 GAMES (in USA),EA LIGUE 1 GAMES (in USA)
Audi Cup (in Germany),Audi Cup (in Germany)
Austria Regionalliga Salzburg,Austria Regionalliga Salzburg
AFF Women's Championship (in Thailand),AFF Women's Championship (in Thailand)
Australia New South Wales Premier League U20 Playoff,Australia New South Wales Premier League U20 Playoff
Memorial Valentin Ivanov Tournament U16 (in Russia),Memorial Valentin Ivanov Tournament U16 (in Russia)
Brazil Copa Espirito Santo,Brazil Copa Espirito Santo
Brazil Acreano U20,Brazil Acreano U20
Slovenia 3rd Div,Slovenia 3rd Div
Australia Victorian Women Premier League Playoff,Australia Victorian Women Premier League Playoff
Western Australia Women National Premier League Playoff,Western Australia Women National Premier League Playoff
UEFA CHAMPIONS LEAGUE - Group G Winner,UEFA CHAMPIONS LEAGUE - Group G Winner
Viettel Football Tournament (in Vietnam),Viettel Football Tournament (in Vietnam)
English Berks & Bucks FA County Senior Cup,English Berks & Bucks FA County Senior Cup
Brazil Potiguar Copa Rio Grande do Norte,Brazil Potiguar Copa Rio Grande do Norte
Brazil Rondoniense,Brazil Rondoniense
Ireland FAI Intermediate Cup,Ireland FAI Intermediate Cup
Belarus Reserve League,Belarus Reserve League
Burundi Presidents Cup,Burundi Presidents Cup
Yamagata Football Championship,Yamagata Football Championship
Sweden Women Victoria Cup,Sweden Women Victoria Cup
Tajikistan Higher League,Tajikistan Higher League
Belarus ALF League One,Belarus ALF League One
Summer League (in Czech Republic),Summer League (in Czech Republic)
PES 20 - Indonesia Gaming League - Big East - 2nd Leg,PES 20 - Indonesia Gaming League - Big East - 2nd Leg
Denmark U19 League Playoff,Denmark U19 League Playoff
USA NWSL Challenge Cup,USA NWSL Challenge Cup
Copa GNP (in Mexico),Copa GNP (in Mexico)
South Australia Women Premier League Cup,South Australia Women Premier League Cup
Australia Brisbane Capital League 1,Australia Brisbane Capital League 1
Russia Women Football Super League,Russia Women Football Super League
