n.th,n.en
"รัสเซีย ฟุตบอล เนชั่นน่อล ลีก",Russia Football National League
"มาเลเซีย คัพ",Malaysia Cup
Kazakhstan Premier League,Kazakhstan Premier League
"กาต้าร์ QNB สตาร์ ลีก",Qatar QNB Stars League
Trofeu Cinco Violinos (in Portugal),Trofeu Cinco Violinos (in Portugal)
"รัสเซีย คัพ",Russia Cup
Lithuania Cup,Lithuania Cup
"เวลส์ พรีเมียร์ ลีก",Wales Premier League
"แอลจีเรีย โปรเฟสชั่นน่อล ลีก 1",Algeria Professional Ligue 1
Estonia Cup,Estonia Cup
"สเปน ลา ลีกา",SPAIN LA LIGA
"แอลเบเนีย ซุปเปอร์ลีกา",Albania Superliga
"สโลวาเกีย ลีก U19",Slovakia League U19
"ฮังการี เมอร์กานติล แบงค์ ลีก้า NB 2",Hungary Merkantil Bank Liga NB 2
"สวิส ไรฟ์เฟซีน ซุปเปอร์ ลีก",SWISS RAIFFEISEN SUPER LEAGUE
"นอร์เวย์ อีลิชซีเรี่ยน",NORWAY ELITESERIEN
"ฟินแลนด์ ไวเคาส์ลีกา",FINLAND VEIKKAUSLIIGA
Torneo Del COTIF U20 (in Spain),Torneo Del COTIF U20 (in Spain)
"เม็กซิโก พรีเมร่า ดิวิชั่น",Mexico Primera Division
"เช็ก เนชั่นแนล ฟุตบอล ลีก",Czech Republic National Football League
"ไทยแลนด์ ลีก 1",Thailand League 1
"นอร์ธเทิร์น ไอร์แลนด์ เดนสกี้ แบงค์ พรีเมียร์ชิฟ",Northern Ireland Danske Bank Premiership
Western Australia National Premier League U20,Western Australia National Premier League U20
"",
" อังกฤษ พรีเมียร์ ลีก",ENGLISH PREMIER LEAGUE
"<DE>Finland Women Naistenliiga</DE>",Finland Women Naistenliiga
"ฮอลแลนด์ (R) ลีก",Holland Reserve League
"ไอซ์แลนด์ คัพ",Iceland Cup
Moldova National Division,Moldova National Division
"กรีซ ซุปเปอร์ ลีก",Greece Super League
"โมร็อคโค โบโตลา โปร",Morocco Botola Pro
AFC แชมป์เปี้ยน ลีก,AFC CHAMPIONS LEAGUE
"โคปา ซูดาเมริกาน่า",Copa Sudamericana
"โครเอเซีย ปาวา ลีก้า",Croatia Prva Liga
"อังกฤษ ลีก 2",ENGLISH LEAGUE TWO
"เอสโตเนีย พรีเมี่ยม ลีก้า",Estonia Premium Liga
"มอนเตเนโกร ที-คอม เฟิร์ส ลีก",Montenegro T-Com First League
"โรมาเนีย ลีกา 2",Romania Liga 2
South Australia Reserve Premier League,South Australia Reserve Premier League
Thailand League 2,Thailand League 2
"กระชับมิตรทีมชาติ",INTERNATIONAL FRIENDLY
"สวีเดน (W) ดามาลล์สเวนส์คาน",Sweden Women Damallsvenskan
Armenia First League,Armenia First League
Women's Friendship Tournament (in Spain & Gibraltar),Women's Friendship Tournament (in Spain & Gibraltar)
"มาเลเซีย ชาเล้นจ์ คัพ",Malaysia Challenge Cup
"โปรตุเกส เล็ดแมน ลีก้าโปร",Portugal Ledman LigaPro
"ไอร์แลนด์ เดลลี่ เมล คัพ",Ireland Daily Mail FAI Cup
"ตุรกี 1st ลีก",Turkey 1st Lig
English U23 Professional Development League,English U23 Professional Development League
"ลัตเวีย เวอร์สลิก้า",Latvia Virsliga
"สก็อตแลนด์ IRN-BRU คัพ",Scotland IRN-BRU Cup
Viktor Bannikov Tournament U17 (in Ukraine),Viktor Bannikov Tournament U17 (in Ukraine)
Uzbekistan Pro League B,Uzbekistan Pro League B
"สก็อตแลนด์ ลีก คัพ",Scotland League Cup
"สวีเดน ดิวิชั่น 1st เซาท์",Sweden 1st Div South
"อิตาลี ซีรี่ B",ITALY SERIE B
"อาร์เจนตินา พรีเมร่า B นาซิอองนาล",Argentina Primera B Nacional
UAE Arabian Gulf Super Cup,UAE Arabian Gulf Super Cup
"ยูฟ่า ยูโรเปี้ยน (W) U19 แชมป์เปี้ยนชิฟ (Q)",UEFA European Women's U19 Championship Qualifiers
Baltic Women Cup (in Estonia),Baltic Women Cup (in Estonia)
"เยอรมัน คัพ U19",Germany Cup U19
Vietnam National Cup,Vietnam National Cup
"กระชับมิตร ทีมชาติ U20",International Friendly U20
"โรมาเนีย คัพ",Romania Cup
"สวิสส์ คัพ",Swiss Cup
"เยอรมัน (W) บุนเดสลีก้า",Germany Women Bundesliga
"อิตาลี ซีรี่ย์ C",Italy Serie C
"เวลส์ ลีก คัพ",Wales League Cup
FYR Macedonia Cup,FYR Macedonia Cup
Israel Liga Alef,Israel Liga Alef
Brazil Copa Rio,Brazil Copa Rio
"อิตาลี พรีมาเวร่า คัพ",Italy Primavera Cup
"บราซิล ทอร์นีโอ ออคโทวิโอ ปินโต กีมาไรช์ U20",Brazil Torneio Otavio Pinto Guimaraes U20
Brazil Women Catarinense,Brazil Women Catarinense
"ไอร์แลนด์เหนือ คันทรี แอนทริม ชิลด",Northern Ireland County Antrim Shield
Norway U19 Cup,Norway U19 Cup
"เกาหลี K - ลีก 1 (P)",Korea K-League 1 Playoff
"ไทยแลนด์ เอฟเอ คัพ (ชนะ)",Thailand FA Cup Winner
"กระชับมิตร ทีมชาติ (w) U23",International Friendly Women U23
"อังกฤษ FA โทรฟี่ (รอบคัดเลือก)",English FA Trophy Qualifiers
"ฟุตบอลโลก (W) U17 (ใน อุรุกวัย)",World Cup Women U17 (in Uruguay)
"สวีเดน 1st ดิวิชั่น (P)",Sweden 1st Div Playoff
"โฟร์ เนชั่นส์ ทัวร์นาร์เม้นท์ (ใน สหรัฐอาหรับเอมิเรตส์)",Four Nations Tournament (in United Arab Emirates)
Israel Women Premier League,Israel Women Premier League
"เจแปน J3 ลีก",Japan J3 League
"สวีเดย ซุปเปอร์เอ็ทเท่น (เพลย์อ๊อฟ)",SWEDEN SUPERETTAN PLAYOFF
U23 พรีเมียร์ ลีก อินเตอร์เนชั่นแนล คัพ (ใน อังกฤษ),U23 Premier League International Cup (in England)
"โคปา อินเตอร์นาซิอองนาล อิปิรันก้า U20 (ใน บราซิล)",Copa Internacional Ipiranga U20 (in Brazil)
Brazil Cearense,Brazil Cearense
Copa de Verano,Copa de Verano
Brazil Catarinense,Brazil Catarinense
Brazil Paranaense,Brazil Paranaense
Northern Iceland Cup,Northern Iceland Cup
Torneo Fox Sports (in Chile),Torneo Fox Sports (in Chile)
Premier Cup (in Qatar),Premier Cup (in Qatar)
Albania Cup,Albania Cup
"อังกฤษ แชมป์เปี้ยนชิฟ",ENGLISH CHAMPIONSHIP
FRANCE SUPER CUP WINNER,FRANCE SUPER CUP WINNER
"เดนมาร์ก ดิวิชั่น 1",Denmark 1st Div
Uzbekistan Super League,Uzbekistan Super League
"สก็อตเเลนด์ ลีก 2",Scotland League 2
"อิตาลี คัพ",ITALY CUP
Paraguay Intermediate Division,Paraguay Intermediate Division
"บัลแกเรีย 2 โปรเฟสฯ ฟุตบอล ลีก",Bulgaria Second Professional Football League
"ตุรกี ซุปเปอร์ ลีก",TURKEY SUPER LEAGUE
"เกาหลี เอฟ เอ คัพ",Korea FA Cup
Australia Brisbane Canale Cup,Australia Brisbane Canale Cup
AFC คัพ,AFC CUP
GERMANY SUPER CUP,GERMANY SUPER CUP
Czech Republic U19 League,Czech Republic U19 League
Czech Republic 3rd Div CFL,Czech Republic 3rd Div CFL
English Southern League Central Division,English Southern League Central Division
"โอมาน โปรเฟสชั่นน่อล ลีก",Oman Professional League
"เบลารุส พรีเมียร์ ลีก",Belarus Premier League
Gipuzkoa Elite Women Football Cup (in Spain),Gipuzkoa Elite Women Football Cup (in Spain)
Germany Bavarian Cup,Germany Bavarian Cup
Federation Cup U19 (in Latvia),Federation Cup U19 (in Latvia)
Four Nations Tournament (in Qatar),Four Nations Tournament (in Qatar)
"ปารากวัย คัพ",Paraguay Cup
"ไอร์แลนด์ SSE แอร์ทรีซิตี้ 1 ดิวิชั่น (P)",Ireland SSE Airtricity 1st Div Playoff
"บราซิล คัมปิโอนาโต้ แอสไพแรนเตส U23",Brazil Campeonato Aspirantes U23
"บราซิล (W) แชมป์เปี้ยนชิฟ ซีรี่ A1",Brazil Women Championship Serie A1
India Shillong Premier League Playoff,India Shillong Premier League Playoff
Austria STFV Steirer Cup,Austria STFV Steirer Cup
"เยอรมัน เซาท์เวสต์ คัพ",Germany Southwest Cup
Japan J-League YBC Levain Cup Winner,Japan J-League YBC Levain Cup Winner
"ลิทัวเนีย A ลีก (P)",Lithuania A League Playoff
"แอลจีเรีย ซุปเปอร์ คัพ",Algeria Super Cup
"โคปา โด นอร์เดสเต้ U20",Copa do Nordeste U20
Germany Thuringen Cup,Germany Thuringen Cup
"บราซิล โคปา ซานต้า คาตาริน่า",Brazil Copa Santa Catarina
"เจแปน วูแมน นาเดชิโกะ ลีก 2 (เพลย์อ๊อฟ)",Japan Women Nadeshiko League 2 Playoff
Reykjavik Cup (in Iceland),Reykjavik Cup (in Iceland)
ITALY SUPER CUP WINNER,ITALY SUPER CUP WINNER
English Southern League Division One South,English Southern League Division One South
India U18 Youth League,India U18 Youth League
Indonesia Cup,Indonesia Cup
Derbyshire Senior Challenge Cup,Derbyshire Senior Challenge Cup
Colombia Cup,Colombia Cup
Four Nations Tournament Women (in Australia),Four Nations Tournament Women (in Australia)
Australia Westfield FFA Cup Qualifiers,Australia Westfield FFA Cup Qualifiers
"คาซัคสถาน ซูเปอร์คัพ",Kazakhstan Super Cup
Argentina Primera D Metropolitana,Argentina Primera D Metropolitana
Australia Northern New South Wales Premier League,Australia Northern New South Wales Premier League
Hungary U19 II. Osztaly,Hungary U19 II. Osztaly
Norway Mesterfinalen Winner,Norway Mesterfinalen Winner
Germany Rheinland Cup,Germany Rheinland Cup
